ID	Dept	Prompt
ENG_001	Engineering	Summarize the current status of FR-5270. Include the owner, key decisions, what shipped, what was deferred, current risks, source links, and recommended next steps.
IT_001	IT/Security	Evaluate how I can gain access to a customer's Glean-hosted GCP instance when the customer is categorized as FedRAMP. Find the relevant policy guidance, prior discussions, approval owners, and recommended next steps. State what is confirmed versus what requires security review.
CO_001	CustomerOutcomes	I need to set up a log stream to my customer's CrowdStrike Falcon NGSIEM instance. Find the approved guidance and prior examples, then give me a practical read-only preparation runbook, cite the source material, and identify internal people with relevant experience.
SALES_001	Sales/Revenue	Find the current account context for Roku's renewal. Summarize the renewal status, major blockers, what is within Glean's control, what is outside Glean's control, and what I should discuss with the AE. Use call history and internal discussions as evidence, and distinguish facts from recommendations.
CO_002	CustomerOutcomes	What is the best approach to evaluate the economics of Waldo for a customer, meaning the ROI of what we charge versus the savings achieved? Find prior examples, methodology documents, assumptions, and reusable talk tracks. Call out any assumptions that need customer validation.
CO_003	CustomerOutcomes	A customer says Glean is not finding a document they expect. Draft a triage runbook using internal guidance, prior escalations, and team discussions. Include permission, indexing, freshness, ownership, and escalation checks, with evidence to collect and clear escalation criteria.
ENG_002	Engineering	Find recent customer escalations related to proxy, networking, or private-connectivity failures. Synthesize the common root causes, diagnostics, known workarounds, affected products or customers, and the best engineering or support contacts. Cite the incidents and distinguish recurring patterns from one-off cases.
AIOM_001	AIOM	Find examples of successful AI use-case discovery or value workshops. Summarize the agenda, artifacts, customer outcomes, follow-up actions, and how I could reuse the approach with a strategic customer. Include source links and note which practices appear repeatable.
IT_002	IT/Security	Find guidance on handling customer data-residency, FedRAMP, or regulated-environment questions during implementation. Summarize what we can say confidently, what requires security review, who should be involved, and the supporting source material.
CO_004	CustomerOutcomes	Draft a customer-facing checklist for validating connector health before an executive business review. Use internal guidance and prior customer examples. Include checks, evidence to collect, owners, expected outputs, and common pitfalls across messaging, ticketing, document, code, and meeting/conversation systems.
SALES_002	Sales/Revenue	Prepare me for a meeting with the AE about Roku renewal risk. Find the latest account context, blockers, call history, executive asks, prior commitments, and recommended next actions. Cite sources, identify unresolved questions, and separate call evidence from internal commentary.
CO_005	CustomerOutcomes	I need to explain Glean indexing, permissions, and freshness to a technical customer. Find the best internal guidance, prior explanations, and relevant examples, then turn them into a concise customer-facing talk track with caveats and source links.
CO_006	CustomerOutcomes	Find the latest status of Project Phoenix. Identify the owner, current objective, progress, key risks, decision history, dependencies, and next action. Reconcile conflicting information across the available records and cite the evidence for each important claim.
AIOM_002	AIOM	I heard Davita raised an issue recently but I do not know where. Find the relevant discussion, support or ticket history, related documentation, and the internal people who know the most. Summarize the issue, impact, current status, and recommended follow-up, citing sources.
ENG_003	Engineering	Create a customer-ready explanation of a harness using the latest approved guidance, prior customer examples, and relevant technical context. Explain what it is, when to use it, prerequisites, limitations, and caveats. Cite source links and flag anything that needs technical confirmation.
SALES_003	Sales/Revenue	Find examples where Glean solved private connectivity on AWS for customers. Summarize the recurring pattern, relevant technical or account artifacts, outcomes, customer-facing explanation, and reusable talk track. Identify which details are customer-specific and should not be generalized.
