ID	Dept	Workflow	ExpectedEvidence	WhyItMatters	ExpectedAnswer	Prompt
ENG_001	Engineering	MCP project status	Jira, Confluence, Slack, GitHub	Tests current cross-source engineering retrieval and ownership	Current status, recent changes, people, risks, next steps, with useful citations	Summarize the current status of the Glean MCP server work. What recently shipped or was discussed, who is involved, and what are the open risks or next steps? Cite tickets, docs, pull requests, or messages.
ENG_002	Engineering	Cursor integration status	Confluence, GitHub, Slack	Tests discovery of implementation guidance and recent engineering decisions	Explain the current Cursor integration approach, recent changes, unresolved issues, and source freshness	What is the current engineering approach for using Glean capabilities in Cursor? Summarize the latest implementation guidance, recent changes, known limitations, and unresolved issues. Cite the most authoritative sources.
ENG_003	Engineering	Issue triage	Jira, GitHub, Slack	Tests whether retrieval can assemble a useful triage view from issue and discussion sources	Prioritized open issues, severity/impact, owners, evidence, and recommended next steps	Find the currently open engineering issues related to MCP, Cursor integrations, or enterprise retrieval. Group them by impact and status, identify owners and blockers, and cite the underlying tickets or discussions.
ENG_004	Engineering	Design decision lookup	Confluence, GitHub, Slack	Tests search-then-read behavior for technical decisions	Decision, rationale, alternatives, date, and current validity	What are the latest documented design decisions for routing enterprise knowledge requests between Glean MCP, direct vendor MCPs, and Cursor plugin capabilities? Explain the rationale and cite the decision documents or discussions.
ENG_005	Engineering	Release and change review	GitHub, Jira, Confluence	Tests current code/change retrieval rather than generic model knowledge	Recent relevant releases or PRs, behavior changes, risks, and validation status	Summarize the most recent releases, pull requests, or code changes affecting MCP connectors, the Cursor integration, or retrieval routing. Distinguish shipped changes from proposals and cite the source for each claim.
ENG_006	Engineering	Incident/support investigation	Slack, Jira, Confluence	Tests retrieval of time-sensitive operational context across conversations and tickets	Incident symptoms, timeline, impact, root cause if known, mitigation, and follow-up	Find the latest internal incident, support issue, or engineering discussion involving MCP connectivity, authentication, routing, or retrieval failures. Summarize the symptoms, timeline, impact, mitigation, and follow-up actions with citations.
IT_001	IT/Security	Access and provisioning policy	Confluence, internal docs, Jira	Tests policy retrieval and freshness	Approvals, sensitive-access handling, credential rules, and last-updated date	Summarize the company's access management and provisioning policy. Who approves sensitive access, how are service credentials handled, and when was the policy last updated? Cite the source document.
SEC_002	IT/Security	Credential and OAuth operations	Confluence, internal docs, Slack	Tests operational guidance for connector authentication and token expiry	Supported authentication flow, renewal/expiry behavior, owner, and safe troubleshooting steps	What is the approved process for authenticating and troubleshooting OAuth-based MCP connectors? Include token-expiry behavior, who owns reauthentication, and what operators must not do. Cite current documentation.
PM_001	Product/Engineering	Roadmap and rollout readiness	Jira, Confluence, Slack, GitHub	Tests synthesis of current rollout evidence and caveats	Readiness status, dependencies, beta/GA language, risks, and next decision	What is the current rollout or readiness status for the Cursor Glean plugin or related MCP integration? Separate verified shipped behavior from beta plans or proposals, identify dependencies and risks, and cite the freshest sources.
ENG_007	Engineering	Ownership and next actions	Jira, Slack, Confluence	Tests whether the system can convert scattered evidence into an actionable engineering summary	Named owners, due dates if present, dependencies, and clearly separated evidence versus inference	For the current MCP and Cursor integration work, identify the highest-priority next actions, owners, due dates, and dependencies. If a due date or owner is not documented, say so instead of inferring it. Cite each action's source.
